Sl.No.,District,Sugar,Steel,Automobile,Garments,Casting,Cement,Dall Mills,Rice Mills,Pharmaceticals,Petroleum,Distillaries,Other
1,Bangalore Urban,1,34,120,886,85,3,0,1,26,1,16,6981
2,Bangalore Rural,0,9,16,56,15,3,0,1,13,4,5,1076
3,Ramanagara,2,3,17,22,3,0,0,0,4,0,4,508
4,Chitradurga,0,3,2,6,0,3,0,18,0,0,0,204
5,Davanagere,1,6,0,19,14,0,0,94,0,0,1,149
6,Kolar,0,10,14,15,5,0,0,9,3,0,1,338
7,Chikkaballapur,0,0,0,17,0,1,0,2,5,0,2,119
8,Shivamogga,1,2,2,9,87,0,0,33,1,0,0,164
9,Tumakuru,1,6,1,22,14,2,0,72,0,0,4,589
10,Chikkamagaluru,0,0,0,1,1,0,0,0,0,0,0,119
11,Dakshina Kannada,0,4,59,6,1,0,0,7,5,7,1,692
12,Udupi,0,0,22,7,1,0,0,13,0,0,1,463
13,Hassan,1,0,2,9,0,0,1,0,1,2,1,128
14,Madikeri ,0,0,2,0,0,0,0,0,0,0,0,67
15,Mandya,7,0,3,13,1,0,0,0,0,0,2,160
16,Mysore ,1,4,24,16,0,0,5,3,2,2,5,694
17,Chamarajanagar,1,0,0,1,0,0,0,0,0,0,0,52
18,Belagavi,28,8,13,8,139,1,0,2,1,3,2,675
19,Bijapur,11,0,0,3,0,0,0,0,0,1,1,103
20,Bagalkote,12,0,0,1,0,4,0,0,0,0,5,55
21,Dharwad,0,11,22,6,9,1,1,0,1,2,2,628
22,Gadag,1,0,0,0,0,0,5,0,0,0,0,137
23,Haveri,3,0,0,3,0,2,0,0,0,0,0,158
24,Uttara Kannada,1,1,2,1,0,1,0,0,1,1,0,133
25,Ballary,1,21,0,6,2,2,0,89,3,0,4,232
26,Bidar,9,2,0,1,0,0,19,2,1,0,5,106
27,Kalburagi,4,0,0,0,0,9,59,1,0,0,1,104
28,Yadgir,1,0,0,0,0,0,3,16,0,0,0,66
29,Raichur,0,1,0,0,0,0,12,98,2,0,1,330
30,Koppal,0,9,0,0,2,2,0,88,0,0,0,138
31,Vijayanagara,2,2,0,4,0,0,2,20,0,0,0,44
,,,,,,,,,,,,,
,,,,,,,,,,,,,
